,total in seconds,datetime(utc),channels,VenusTriggerVenusName_isThreat,VenusTriggerLinkType_Uplink,VenusTrigger_RadioId,VenusTrigger_Frequency,VenusTrigger_OnAirStartTime,VenusTrigger_StopTime,VenusTrigger_Azimuth,VenusTrigger_Deviation,DJI OcuSync,DJI Mavic Mini,Cheerson Leopard 2,DJI Mavic Pro long,nan,DJI Mavic Pro short,Hubsan,Futaba FASST-7CH Var. 1,"AscTec Falcon 8 Downlink, DJI Mavic Mini",DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G,"DJI Mavic Mini, MJX R/C Technic",Udi R/C 818A,MJX R/C Technic,TT Robotix Ghost,Udi R/C,"DJI Mini, DJI Phantom 4 Pro/Mavic Pro, DJI Phantom 4/Mavic Pro","DJI Mavic Pro long, DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G",Spektrum DSMX downlink,Spektrum DSMX 12CH uplink,MJX X901,"DJI Mavic Pro long, DJI Phantom 4/Mavic Pro,DJI Phantom/Mavic Pro",AscTec Falcon 8 Downlink,VenusName NaN,ISM 2.4 GHz,ISM 5.8 GHz,FreqBand_Null
0,1601456468,2020-09-30 09:01:08,0.0,1.0,FHSS,98,2440000000.0,1601464909738671.0,1601464997779136.0,60.3,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1
1,1601456468,2020-09-30 09:01:08,0.0,1.0,0,281474977710663,2466500000.0,1601464385149123.0,1601465000377027.0,57.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1
2,1601456468,2020-09-30 09:01:08,0.0,1.0,0,281474977710665,2406500000.0,1601464905668912.0,1601465000267027.0,56.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1
3,1601456468,2020-09-30 09:01:08,0.0,1.0,FHSS,97,2440000000.0,1601463442979672.0,1601464997775208.0,61.2,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,1
4,1601456469,2020-09-30 09:01:09,0.0,0.0,FHSS,99,2440000000.0,1601463219650685.0,1601464998754562.0,60.3,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,1
5,1601456469,2020-09-30 09:01:09,0.0,1.0,FHSS,97,2440000000.0,1601463442979672.0,1601464998765208.0,58.8,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,1
6,1601456469,2020-09-30 09:01:09,0.0,0.0,FHSS,91,2440000000.0,1601462886278761.0,1601464998330698.0,58.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,1
7,1601456470,2020-09-30 09:01:10,0.0,0.0,FHSS,99,2440000000.0,1601463219650685.0,1601464999935209.0,61.9,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,1
8,1601456473,2020-09-30 09:01:13,0.0,1.0,0,281474977710663,2466500000.0,1601464385149123.0,1601465004614588.0,57.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1
9,1601456473,2020-09-30 09:01:13,0.0,1.0,0,281474977710665,2406500000.0,1601464905668912.0,1601465004524588.0,56.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1
10,1601456475,2020-09-30 09:01:15,0.0,1.0,FHSS,98,2440000000.0,1601464909738671.0,1601465004939140.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1
11,1601456476,2020-09-30 09:01:16,0.0,0.0,FHSS,74,2440000000.0,1601462520741364.0,1601465006091935.0,55.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,1
12,1601456476,2020-09-30 09:01:16,0.0,0.0,FHSS,86,2440000000.0,1601464127875244.0,1601465005709836.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,1
