,total in seconds,datetime(utc),Diana_time,DianaSensorPosition_latitude_deg,DianaSensorPosition_longitude_deg,DianaSensorPosition_altitude_m,DianaTargets_band,DianaTarget_ID,DianaTargetsTargetSignal_snr_dB,DianaTargetsTargetSignal_bearing_deg,DianaTargetsTargetSignal_range_m,DianaTargetsTargetClassification_score,channels,DianaTarget_Aircraft,DianaTarget_Controller,DianaTarget_None,DianaClasssification_Unknown,DianaClasssification_DJI-MAVIC-PRO-PLATINUM,DianaClasssification_Wifi-Bluetooth,DianaClasssification_DJI-MAVIC-2-PRO,DianaClasssification_DJI-Phantom-4F,DianaClasssification_Parrot-ANAFI,DianaClasssification_DJI-Phantom-4E,DianaClasssification_SPEKTRUM-DX5e,DianaClasssification_SYMA-X8HW,DianaClasssification_DJI-MAVIC-AIR,DianaClasssification_None,DianaClasssification_VISUO-Zen
0,1601385497,2020-09-29 13:18:17,0.0,0.0,0.0,0.0,0.0,12000.0,20.003698,98.754061,177.0,0.466667,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1601385497,2020-09-29 13:18:17,738063.6,51.519137,5.857951,31.0,1.0,1.0,33.204758,98.754061,38.0,0.2333329999999999,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1601385500,2020-09-29 13:18:20,738063.6,51.519137,5.857951,31.0,2.0,1.0,28.941897,99.943643,63.0,0.466667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1601385500,2020-09-29 13:18:20,0.0,0.0,0.0,0.0,0.0,0.0,14.228722,99.943643,346.0,0.147574,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4,1601385500,2020-09-29 13:18:20,0.0,0.0,0.0,0.0,0.0,0.0,7.036888,99.943643,791.0,0.333333,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5,1601385502,2020-09-29 13:18:22,738063.6,51.519137,5.857951,31.0,3.0,0.0,19.546206,92.681281,187.0,0.282458,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6,1601385505,2020-09-29 13:18:25,738063.6,51.519137,5.857951,31.0,1.0,12001.0,34.458129,94.901342,33.0,0.633333,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,1601385509,2020-09-29 13:18:29,738063.6,51.519137,5.857951,31.0,2.0,11001.0,18.858635,26.950622,203.0,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,1601385509,2020-09-29 13:18:29,0.0,0.0,0.0,0.0,0.0,12000.0,24.756714,26.950622,102.0,0.833333,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
9,1601385509,2020-09-29 13:18:29,0.0,0.0,0.0,0.0,0.0,12000.0,23.38063,26.950622,120.0,0.389309,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
