,0
0,0.03965563325490124
1,0.03361359450641907
2,0.027850927046346917
3,0.022624128192483023
4,0.018115833141347012
5,0.014436460634959595
6,0.011632197755354802
7,0.00969590839475031
8,0.008578236726780333
9,0.008197286706458463
10,0.008446431804212833
11,0.009200748336398078
12,0.010323077629865725
13,0.01167073834986923
14,0.013103489015949476
15,0.01449264804852879
16,0.015730545559144785
17,0.01673894322950239
18,0.01747489366274766
19,0.017932789747898886
20,0.018142021321915912
21,0.01816053729627707
22,0.018065458256243856
23,0.017942442653076117
24,0.017875599880478328
25,0.01793933451690979
26,0.01819274544765393
27,0.018676379935157406
28,0.019410576880699963
29,0.020394537618507035
30,0.02160563357972997
31,0.02299907202343116
32,0.02450855320019411
33,0.02604868597058033
34,0.027519615448461814
35,0.028813729823947233
36,0.029823763682254117
37,0.030451360998462705
38,0.030615260273908502
39,0.03025855203524399
40,0.029354670131254618
41,0.027911735844695376
42,0.025974619549106157
43,0.023623865533014547
44,0.020970740482030605
45,0.01814826597488208
46,0.01529906156193269
47,0.012561800982014924
48,0.010058644487572791
49,0.007885872848464056
50,0.006109115221816204
51,0.004763321697386611
52,0.0038564282806998747
53,0.003374914894551486
54,0.0032893951164232934
55,0.003558969473526336
56,0.004134060630731898
57,0.0049584387494046415
58,0.0059717543502792285
59,0.00711387036925309
60,0.008331586502768235
61,0.009587179049597721
62,0.01086693228683923
63,0.01218698415307466
64,0.013593741781964394
65,0.015157005896135656
66,0.016955630826445092
67,0.019057603507083618
68,0.021498255306443205
69,0.024261364351098973
70,0.027267821604584054
71,0.030375304907139394
72,0.0333903314965992
73,0.03609164908360391
74,0.03826173867135704
75,0.03972171283134089
76,0.04036440707903385
77,0.04018109602099709
78,0.03927895551767963
79,0.03788889094064384
80,0.036366205049249235
81,0.035189091610339854
82,0.03496119367112859
83,0.03642345193583852
84,0.04047639739823052
85,0.04820679141656967
86,0.06090313184692606
87,0.08003556370403539
88,0.10717104804442545
89,0.1437986414431497
90,0.19105568780330337
91,0.24937372916357245
92,0.31809826241478933
93,0.39516923901631057
94,0.4769664022773026
95,0.5584132685883495
96,0.6333903959342063
97,0.6954380227143375
98,0.7386473702988523
99,0.7585736433394916
100,0.7529760784360471
101,0.7222150863667076
102,0.6692105530383519
103,0.5989684536197705
104,0.5177842700746981
105,0.43230100922743037
106,0.3486180890598564
107,0.271613781491802
108,0.20457366770557564
109,0.14913555391644653
110,0.10549212189108939
111,0.07275244426691799
112,0.049356503515812666
113,0.03345642809650961
114,0.023211758661729268
115,0.016980744869753983
116,0.01341624193246337
117,0.011489380018621998
118,0.010467684504457071
119,0.00987035870985531
120,0.009416267174064682
121,0.00897315203788074
122,0.008511616469018478
123,0.008064814589955787
124,0.007694058474283973
125,0.007460796897217239
126,0.0074058293980139925
127,0.007536686499967525
128,0.00782365751101659
129,0.008204060889151986
130,0.008593259073435978
131,0.008899911181609965
132,0.00904231457444815
133,0.008962618668661455
134,0.008636277768283141
135,0.008075247113920075
136,0.007324852158779502
137,0.006455606731099634
138,0.005552165008840773
139,0.004701844828590264
140,0.003984751540793033
141,0.0034666741161390254
142,0.0031949633478789564
143,0.0031968812413741172
144,0.003479647616178876
145,0.004031615342348569
146,0.004824487763508868
147,0.005816937983238489
148,0.006960096802082307
149,0.008204984797489488
150,0.00951114546106228
151,0.0108547931034479
152,0.012234158265094672
153,0.013669794482786107
154,0.015198581363454849
155,0.016861855261097708
156,0.01869002085412785
157,0.02068746428826043
158,0.022821994929522405
159,0.025022112567869625
160,0.027183332202580224
161,0.029182241074742064
162,0.030894771694063364
163,0.032214103482079114
164,0.03306400832693312
165,0.033405147560894896
166,0.03323416195410141
167,0.03257751831713255
168,0.03148325719432665
169,0.030013691042581378
170,0.028240893517644004
171,0.026245063790872627
172,0.024114274415769875
173,0.021943326797990693
174,0.019829718362445455
175,0.01786593047119147
176,0.016128899509032162
177,0.014669009787055992
178,0.013501696700092275
179,0.012604483597368436
180,0.011921056596034721
181,0.01137218673916394
182,0.0108715018325722
183,0.010342848960260715
184,0.009735641735591901
185,0.009035216588104442
186,0.008266577416072379
187,0.007491521169533465
188,0.006800501356304668
189,0.006301334879903789
190,0.006106879972980385
191,0.00632326751450508
192,0.007039487868981575
193,0.00831847656977021
194,0.010189541105368736
195,0.012642070776133527
196,0.015620839387621661
197,0.019023625589546622
198,0.02270213421366522
199,0.026467187196218503
