,datetime(utc),total in seconds,channels,ArcusPotentialDronPlot_id,ArcusPotentialDronPlot_rcs,ArcusPotentiaDronPlotPlotPosition_altitude,ArcusPotentialDronPlotsPlotPosition_latitude,ArcusPotentialDronPlotsPlotPosition_longitude,ArcusTracksTrack_id,ArcusTracksTrackPosition_Latitude,ArcusTracksTrackPosition_Longitude,ArcusTracksTrackPosition_Altitude,ArcusTracksTrackVelocity_Azimuth,ArcusTracksTrackVelocity_Elevation,ArcusTracksTrackVelocity_Speed,ArcusTracksTrack_Reflection,ArcusTracksTrack_Score,ArcusSystemStatusSensorPosition_Latitude,ArcusSystemStatusSensorPosition_Longitude,ArcusSystemStatusSensorPosition_Altitude,ArcusSystemStatusSensorStatusOrientetation_Azimuth,ArcusSystemStatusSensorStatusOrientetation_Elevation,ArcusSystemStatusSensorStatusBlankSector_Angle,ArcusSystemStatusSensorStatusBlankSector_Span,ArcusSystemStatusSensorStatusProcessing_Sensitivity
0,2020-09-29 13:55:31,1601387731.0,,,,,,,,,,,,,,,,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,0.0
1,2020-09-29 13:55:32,1601387732.0,,,,,,,,,,,,,,,,,,,,,,,
2,2020-09-29 13:55:34,1601387734.0,,,,,,,,,,,,,,,,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,0.0
3,2020-09-29 13:55:37,1601387737.0,,,,,,,,,,,,,,,,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,0.0
4,2020-09-29 13:55:38,1601387738.0,,,,,,,,,,,,,,,,,,,,,,,
5,2020-09-29 13:55:39,1601387739.0,,,,,,,,,,,,,,,,,,,,,,,
6,2020-09-29 13:55:40,1601387740.0,,,,,,,,,,,,,,,,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,2.0
7,2020-09-29 13:55:41,1601387741.0,,,,,,,,,,,,,,,,,,,,,,,
8,2020-09-29 13:55:42,1601387742.0,,,,,,,,,,,,,,,,,,,,,,,
9,2020-09-29 13:55:43,1601387743.0,,,,,,,,,,,,,,,,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,5.0
10,2020-09-29 13:55:44,1601387744.0,,,,,,,,,,,,,,,,,,,,,,,
11,2020-09-29 13:55:45,1601387745.0,,,,,,,,,,,,,,,,,,,,,,,
12,2020-09-29 13:55:46,1601387746.0,,,,,,,,,,,,,,,,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,7.0
13,2020-09-29 13:55:47,1601387747.0,,,,,,,,,,,,,,,,,,,,,,,
14,2020-09-29 13:55:48,1601387748.0,,,,,,,,,,,,,,,,,,,,,,,
15,2020-09-29 13:55:49,1601387749.0,,,,,,,,,,,,,,,,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,9.0
16,2020-09-29 13:55:50,1601387750.0,,,,,,,,,,,,,,,,,,,,,,,
17,2020-09-29 13:55:51,1601387751.0,,2.0,7.17055511,222.50654602,0.59661878,-8.85718841,,,,,,,,,,,,,,,,,
18,2020-09-29 13:55:52,1601387752.0,,4.0,18.44194031,197.9230957,0.10204532,-5.8605447,,,,,,,,,,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,11.0
19,2020-09-29 13:55:53,1601387753.0,,19.0,18.49629211,176.93266296,0.48830116,-3.93718956,,,,,,,,,,,,,,,,,
20,2020-09-29 13:55:54,1601387754.0,,39.0,20.86238098,153.46302795,-0.04310122,1.29154718,,,,,,,,,,,,,,,,,
21,2020-09-29 13:55:55,1601387755.0,,,,,,,,,,,,,,,,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,15.0
22,2020-09-29 13:55:56,1601387756.0,,,,,,,,51.521455020000005,5.870733875,114.752645145,255.07054901,31.13267165,21.994957925,-4.458522795,0.001113935,,,,,,,,
23,2020-09-29 13:55:57,1601387757.0,,,,,,,,51.521372895,5.870794665,114.257805125,257.42898559500003,30.766992029999997,20.771936415,-4.747968669999999,0.100186935,,,,,,,,
24,2020-09-29 13:55:58,1601387758.0,,,,,,,,51.52124593,5.870985045,113.728399135,248.698539735,30.900936005,25.4783144,-6.435632705,0.15298368,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,17.0
25,2020-09-29 13:55:59,1601387759.0,,334.0,4.13549042,96.09681702,-0.18933725,31.86525026,,51.52124593,5.870985045,113.728399135,248.698539735,30.900936005,25.4783144,-6.435632705,0.15298368,,,,,,,,
26,2020-09-29 13:56:00,1601387760.0,,498.5,4.21871567,145.771289825,0.025388044999999998,46.70224368,,51.5211366825,5.8693158975,113.6900331775,139.4139153975,13.818006185,18.90906167,-20.2345209125,0.1026258525,,,,,,,,
27,2020-09-29 13:56:01,1601387761.0,,568.5,-7.12929153,150.747699735,-0.863019215,56.203932359999996,,51.5212017675,5.8692428325,92.64010686625,151.3476417075,4.31889503375,17.2757841675,-24.26888132,0.10642073125000001,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,20.0
28,2020-09-29 13:56:02,1601387762.0,,734.0,-12.60676956,2171.2502594,1.396530415,9.266328590000008,,51.52152112,5.869266077000001,82.544965219,135.228427124,1.9749000550000002,14.866463208999999,-25.71589241,0.165565044,,,,,,,,
29,2020-09-29 13:56:03,1601387763.0,,810.0,14.28748322,140.49514771,-0.52146018,68.00874374,,51.52152909916666,5.869057599166666,84.60888746916667,115.33214581083332,-1.9446117950000004,13.970472991666666,-27.319887159999997,0.21547890749999998,,,,,,,,
30,2020-09-29 13:56:04,1601387764.0,,976.0,17.94480133,159.60279846,0.49962727,71.07055331,,51.521414592666666,5.869016532666667,85.34383140666667,101.76639709533333,-4.835491054666666,15.081042656,-24.987137858666664,0.22882482199999998,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,22.0
31,2020-09-29 13:56:05,1601387765.0,,,,,,,,51.521443801176474,5.868753442352941,94.45402475058825,108.72115278235295,-11.002691789411767,13.623926040588236,-25.899603450588234,0.2616112723529412,,,,,,,,
32,2020-09-29 13:56:06,1601387766.0,,,,,,,,51.52148292941177,5.868811655882353,93.75035313294117,107.61323878411766,-3.6700727835294122,14.568327918235294,-26.00596618705882,0.3308365229411765,,,,,,,,
33,2020-09-29 13:56:07,1601387767.0,,1264.0,-5.13459778,1061.88232422,1.4190845,-107.8651292,,51.521699742631576,5.868755093684211,93.30926680263158,110.55290955105265,-2.456819762105263,15.126252926842106,-26.615643953157896,0.3495756021052632,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,24.0
34,2020-09-29 13:56:08,1601387768.0,,1366.0,5.806697845,657.7985000599999,1.07808141,-15.621394725000002,,51.52190030931034,5.868894296551724,89.31110557482758,106.07096994310345,-2.9949212803448275,12.231612691034483,-28.738222450689655,0.2887177,,,,,,,,
35,2020-09-29 13:56:09,1601387769.0,,,,,,,,51.52179033277778,5.868848279444444,88.72061898444446,110.71494894527778,-0.6793452633333334,11.402973069444444,-30.031322055,0.2892873902777778,,,,,,,,
36,2020-09-29 13:56:10,1601387770.0,,,,,,,,51.52173403538461,5.868834351538462,88.3555957023077,115.27030348153846,-1.4344547651282054,11.598175898205128,-29.11262639307692,0.33969219692307695,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,27.0
37,2020-09-29 13:56:11,1601387771.0,,1747.0,-3.05569458,653.83883667,0.7134566399999999,-17.26318311,,51.52179155295455,5.868812085681818,83.23500170999999,123.47087116681818,0.5907662145454545,10.624759359318181,-29.53920953818182,0.35285719136363636,,,,,,,,
38,2020-09-29 13:56:12,1601387772.0,,1962.0,-20.394115445,94.28109454999999,-2.43331258,93.96164366,,51.52186149921569,5.869179879215686,86.28824840333333,123.90738232941176,-2.3837867084313724,10.294278626078432,-29.338938544313724,0.35493325098039213,,,,,,,,
39,2020-09-29 13:56:13,1601387773.0,,1908.0,8.16880798,158.23028564,-0.91126367,71.36949107,,51.52175817160714,5.869133325357143,87.00317483535714,126.2530672130357,-3.3965218310714285,10.182232626607144,-29.136032853928572,0.36002650035714284,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,30.0
