,datetime(utc),Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total in seconds,channels,ArcusPotentialDronPlot_id,ArcusPotentialDronPlot_rcs,ArcusPotentiaDronPlotPlotPosition_altitude,ArcusPotentialDronPlotsPlotPosition_latitude,ArcusPotentialDronPlotsPlotPosition_longitude,ArcusTracksTrack_id,ArcusTracksTrackPosition_Latitude,ArcusTracksTrackPosition_Longitude,ArcusTracksTrackPosition_Altitude,ArcusTracksTrackVelocity_Azimuth,ArcusTracksTrackVelocity_Elevation,ArcusTracksTrackVelocity_Speed,ArcusTracksTrack_Reflection,ArcusTracksTrack_Score,ArcusSystemStatusSensorPosition_Latitude,ArcusSystemStatusSensorPosition_Longitude,ArcusSystemStatusSensorPosition_Altitude,ArcusSystemStatusSensorStatusOrientetation_Azimuth,ArcusSystemStatusSensorStatusOrientetation_Elevation,ArcusSystemStatusSensorStatusBlankSector_Angle,ArcusSystemStatusSensorStatusBlankSector_Span,ArcusSystemStatusSensorStatusProcessing_Sensitivity,Arcus_OperationalState_NaN,Arcus_OperationalState_Idle,Arcus_OperationalState_Operational,Arcus_Classification_NaN,Arcus_Classification_UNKNOWN,Arcus_Classification_VEHICLE,Arcus_Classification_OTHER,Arcus_Classification_DRONE,Arcus_Classification_SUSPECTED_DRONE,Arcus_Classification_HELICOPTER,Arcus_Alarm_NaN,Arcus_Alarm_FALSE,Arcus_Alarm_TRUE
0,2020-09-29 13:55:32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1601387732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.521469220578055,5.869292970351111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,2020-09-29 13:55:45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45.0,45.0,1601387745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.521469220578055,5.869292970351111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,2020-09-29 13:55:49,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,60.0,60.0,1601387749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.521469220578055,5.869292970351111,0.0,0.0,0.0,0.0,0.0,0.0,10.304294,1.174113666,6.2,-31.155340576,0.0,0.663225132,0.0,1.8,0.8,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,2020-09-29 13:55:54,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,78.0,78.0,1601387754.0,0.0,13.0,6.954126993333333,51.15434265,-0.0143670733333333,0.4305157266666666,0.0,51.521469220578055,5.869292970351111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,2020-09-29 13:55:58,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,95.5,95.5,1601387758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.521469220578055,5.869292970351111,37.909466378333335,82.89951324500001,10.300312001666668,8.492771466666666,-2.1452109016666667,0.05099456,8.586911666666667,0.978428055,5.166666666666667,-25.96278381333333,0.0,0.55268761,0.0,2.833333333333333,0.8333333333333334,0.0,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.0,1.0,0.0,0.0
5,2020-09-29 13:56:02,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,128.5,128.5,1601387762.0,0.0,122.33333333333331,-2.10112826,361.8750432333333,0.2327550691666666,1.544388098333335,0.0,51.521469220578055,5.869292970351111,68.78747101583333,112.69035593666666,1.6457500458333334,12.388719340833331,-21.429910341666663,0.13797087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1666666666666666,0.75,0.0,0.0833333333333333,0.0,0.0,0.0,1.0,0.0,0.0
6,2020-09-29 13:56:06,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,196.0,196.0,1601387766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.521469220578055,5.869292970351111,83.88189490842105,96.28552943842104,-3.2837493326315794,13.03481971631579,-23.26849606210526,0.2960116257894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1052631578947368,0.631578947368421,0.0,0.2631578947368421,0.0,0.0,0.0,1.0,0.0,0.0
7,2020-09-29 13:56:11,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,363.5,363.5,1601387771.0,0.0,75.95652173913044,-0.1328562860869565,28.427775507391303,0.0310198539130434,-0.7505731786956522,0.0,51.52167122842391,5.869292970351111,79.61608859217391,118.10257242043478,0.5650807269565218,10.16281330021739,-28.25489608,0.3375155743478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0434782608695652,0.7608695652173914,0.0217391304347826,0.1521739130434782,0.0217391304347826,0.0,0.0,0.9782608695652174,0.0,0.0
8,2020-09-29 13:56:15,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,587.5,587.5,1601387775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.52162905797414,5.869292970351111,82.66614429827587,138.56483644448275,0.8169054901724139,9.899799305517242,-28.21439308965517,0.3991791081034482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0344827586206896,0.6724137931034483,0.0344827586206896,0.2413793103448276,0.0,0.0172413793103448,0.0,0.9827586206896552,0.0,0.0
9,2020-09-29 13:56:19,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,843.5,843.5,1601387779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.521678432102725,5.869292970351111,82.65810438837838,113.52603611094597,-0.9208316366216216,10.116116717297295,-27.72613576986486,0.4160025085135135,0.696236081081081,0.0793320044594594,0.4189189189189189,-2.105090579459459,0.0,0.0448125089189189,0.0,0.4729729729729729,0.9864864864864864,0.0,0.0135135135135135,0.054054054054054,0.6216216216216216,0.027027027027027,0.2837837837837837,0.0,0.0135135135135135,0.0,0.9864864864864864,0.0,0.0
