,0
0,0.0053232812470254435
1,0.004280466770377078
2,0.0034015298868311267
3,0.0027042666180950832
4,0.0021983460394947797
5,0.0018885982817326442
6,0.0017781642291017413
7,0.0018709477489688693
8,0.0021729805249079
9,0.002692511880230463
10,0.0034388450676937437
11,0.004420135501169425
12,0.005640525791931334
13,0.0070970984877770414
14,0.008777163242780557
15,0.010656350051112644
16,0.012697855512121227
17,0.014853002932460833
18,0.017063064396367247
19,0.01926209945873935
20,0.021380435385459102
21,0.023348377070252856
22,0.02509979344639342
23,0.026575353969147387
24,0.02772533344876215
25,0.028512009861025627
26,0.028911705795425523
27,0.02891645930788213
28,0.028535181410503214
29,0.027794023092263035
30,0.026735603473048333
31,0.025416797081266065
32,0.02390496081447414
33,0.022272771843841167
34,0.02059217724994307
35,0.0189282336610378
36,0.017333755891719694
37,0.015845645592861023
38,0.014483531832625976
39,0.01325097421346727
40,0.012139042013431014
41,0.011131689262562533
42,0.010212080110276803
43,0.009368928399888933
44,0.008601998938224829
45,0.007926129912112997
46,0.007373402708221417
47,0.0069933297597719905
48,0.006851096446091314
49,0.00702396116507467
50,0.007595913418236418
51,0.008650672216665488
52,0.010263148521734468
53,0.012489653570097379
54,0.015357427366691863
55,0.01885444977994722
56,0.022920886148406323
57,0.027443778907495685
58,0.032256593229946194
59,0.03714486507862238
60,0.04185846959647196
61,0.0461300106431769
62,0.04969770641510404
63,0.05233014903127205
64,0.053849689007769555
65,0.05415111999330799
66,0.05321288346102365
67,0.05109910742341233
68,0.04795224087656818
69,0.04397756919947951
70,0.0394222058002295
71,0.03455202165587007
72,0.029630278372498743
73,0.02490148373110137
74,0.020583313707211382
75,0.016868522829949082
76,0.013937767875123306
77,0.0119832992110347
78,0.011242521613829824
79,0.012039377604487766
80,0.014830189178190688
81,0.02024886820209452
82,0.029144277540315785
83,0.042600253142039225
84,0.061926955422583516
85,0.08861166656692351
86,0.12421888639405912
87,0.17023446125793656
88,0.22785686235795283
89,0.29775010075105707
90,0.3797855236165548
91,0.4728112326207881
92,0.5744948207883169
93,0.6812843934842596
94,0.7885223846868854
95,0.8907264832820092
96,0.9820245650423818
97,1.0567007959313581
98,1.1097844259532428
99,1.1375975846524573
100,1.1381781902505783
101,1.1115102439241364
102,1.059523787027763
103,0.9858647046555862
104,0.895472406123962
105,0.7940332597390057
106,0.6873936008492926
107,0.5810157151439188
108,0.47954483129815556
109,0.3865294520336516
110,0.304307682155858
111,0.23404495875160652
112,0.17588862820877843
113,0.1291946177641227
114,0.0927809495778801
115,0.06516996989455366
116,0.0447927512901075
117,0.030141891448306722
118,0.019870238558394614
119,0.012841327490105406
120,0.008142003696359356
121,0.005069192514589929
122,0.003101892473308812
123,0.0018672354952935376
124,0.00110675508812576
125,0.0006464720017850496
126,0.0003723964815924416
127,0.00021166745048847903
128,0.00011875017732495202
129,6.576232789368745e-05
130,3.594207456495258e-05
131,1.937888384930757e-05
132,1.0301071080631354e-05
133,5.394179433506269e-06
134,2.7801995721102665e-06
135,1.4090692196273567e-06
136,7.016052416103757e-07
137,3.42903432070576e-07
138,1.6436555253550793e-07
139,7.72120268233992e-08
140,3.552272294736261e-08
141,1.5996451387819277e-08
142,7.047278509271552e-09
143,3.0361020217718703e-09
144,1.2786575289352407e-09
145,5.262672283657792e-10
146,2.1162442389573635e-10
147,8.31274446775753e-11
148,3.189111766929088e-11
149,1.1947644736039079e-11
150,4.370524483572712e-12
151,1.5609317740562832e-12
152,5.442534211263312e-13
153,1.8525037987607253e-13
154,6.15511935472485e-14
155,1.996255101378136e-14
156,6.319515935973557e-15
157,1.9526683358379925e-15
158,5.888990970855897e-16
159,1.7334591562967838e-16
160,4.9801297886950144e-17
161,1.3964236074005974e-17
162,3.821547438376569e-18
163,1.0207131493305999e-18
164,2.6607739727983383e-19
165,6.769397342072982e-20
166,1.6808466955494003e-20
167,4.073248684125599e-21
168,9.633572663967848e-22
169,2.2236507473233852e-22
170,5.009308866066903e-23
171,1.1013376907109715e-23
172,2.3631657656094347e-24
173,4.948783872486177e-25
174,1.0114236414074864e-25
175,2.0174267794499568e-26
176,3.927284204471778e-27
177,7.461335851500836e-28
178,1.3834721672829432e-28
179,2.5035354107849165e-29
180,4.4214675400361504e-30
181,7.620938650517882e-31
182,1.281975593200582e-31
183,2.104651876386228e-32
184,3.3721739663964426e-33
185,5.273134266150695e-34
186,8.047423391052857e-35
187,1.1986035338816017e-35
188,1.7426397869773428e-36
189,2.498492403529932e-37
190,5.4181921805287e-38
191,1.4974299357100966e-37
192,1.0303037407528834e-36
193,7.130604571923765e-36
194,4.819079801982536e-35
195,3.1785973896794533e-34
196,2.0461433079911297e-33
197,1.285480845350557e-32
198,7.881778161453726e-32
199,4.716413132186864e-31
