,datetime(utc),Unnamed: 0.1,Unnamed: 0,total in seconds,channels,ArcusPotentialDronPlot_id,ArcusPotentialDronPlot_rcs,ArcusPotentiaDronPlotPlotPosition_altitude,ArcusPotentialDronPlotsPlotPosition_latitude,ArcusPotentialDronPlotsPlotPosition_longitude,ArcusTracksTrack_id,ArcusTracksTrackPosition_Latitude,ArcusTracksTrackPosition_Longitude,ArcusTracksTrackPosition_Altitude,ArcusTracksTrackVelocity_Azimuth,ArcusTracksTrackVelocity_Elevation,ArcusTracksTrackVelocity_Speed,ArcusTracksTrack_Reflection,ArcusTracksTrack_Score,ArcusSystemStatusSensorPosition_Latitude,ArcusSystemStatusSensorPosition_Longitude,ArcusSystemStatusSensorPosition_Altitude,ArcusSystemStatusSensorStatusOrientetation_Azimuth,ArcusSystemStatusSensorStatusOrientetation_Elevation,ArcusSystemStatusSensorStatusBlankSector_Angle,ArcusSystemStatusSensorStatusBlankSector_Span,ArcusSystemStatusSensorStatusProcessing_Sensitivity,Arcus_OperationalState_NaN,Arcus_OperationalState_Idle,Arcus_OperationalState_Operational,Arcus_Classification_NaN,Arcus_Classification_UNKNOWN,Arcus_Classification_VEHICLE,Arcus_Classification_OTHER,Arcus_Classification_DRONE,Arcus_Classification_SUSPECTED_DRONE,Arcus_Classification_HELICOPTER,Arcus_Alarm_NaN,Arcus_Alarm_FALSE,Arcus_Alarm_TRUE
0,2020-09-29 12:18:55,3.0,3.0,1601381935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.52032302,5.864869320000001,0.0,0.0,0.0,0.0,0.0,0.0,7.360212857142857,0.8386559528571428,4.285714285714286,-22.23109,0.0,0.5609987042857143,0.33659921428571427,0.0,0.8571428571428571,0.14285714285714285,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,2020-09-29 12:19:03,16.5,16.5,1601381943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.52032302,5.86486932,0.0,0.0,0.0,0.0,0.0,0.0,25.760745,2.935295835,15.0,-77.808815,0.0,1.963495465,1.17809725,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,2020-09-29 12:19:12,22.5,22.5,1601381952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.52032302,5.86486932,0.0,0.0,0.0,0.0,0.0,0.0,25.760745,2.935295835,15.0,-77.808815,0.0,1.963495465,1.17809725,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,2020-09-29 12:19:24,41.0,41.0,1601381964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.52032302,5.86486932,0.0,0.0,0.0,0.0,0.0,0.0,10.304298,1.1741183339999999,6.0,-31.123526,0.0,0.785398186,0.4712389,0.6,0.8,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,2020-09-29 12:19:29,59.0,59.0,1601381969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.52032302,5.86486932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,2020-09-29 12:19:33,70.0,70.0,1601381973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.52032302,5.86486932,0.0,0.0,0.0,0.0,0.0,0.0,10.304298,1.1741183339999999,6.0,-31.123526,0.0,0.785398186,0.4712389,2.0,0.8,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,2020-09-29 12:19:37,85.0,85.0,1601381977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.52032302,5.86486932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,2020-09-29 12:19:42,103.0,103.0,1601381982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.52044438,5.86486932,6.803404648,12.233666992,0.510687686,2.838365554,1.003631592,0.045217198,10.304298,1.1741183339999999,6.0,-31.123526,0.0,0.785398186,0.4712389,3.6,0.8,0.0,0.2,0.8,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,2020-09-29 12:19:46,128.0,128.0,1601381986.0,0.0,77.72727272727273,-9.188790060909092,116.92980957,7.931891076363636,-44.282080052727274,0.0,51.52160400818182,5.865967063636364,46.057621940909094,126.17545873454546,-2.307514656363636,5.641657351818182,-13.210906982727272,0.1628705690909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,2020-09-29 12:19:50,226.5,226.5,1601381990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.522126915,5.866913967142858,54.375439289285715,171.8818561007143,-4.507794442142857,9.81170896142857,-21.23224558142857,0.3268001571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,0.5714285714285714,0.07142857142857142,0.21428571428571427,0.0,0.0,0.0,1.0,0.0,0.0
10,2020-09-29 12:19:54,302.5,302.5,1601381994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.52215245083334,5.867303639166667,74.08334877166666,119.45441389125,-4.654151756666667,9.053626239166666,-23.833455721666667,0.2952131966666667,2.14672875,0.24460798625,1.25,-6.484067916666667,0.0,0.16362462208333334,0.09817477083333333,1.0833333333333333,0.9583333333333334,0.0,0.041666666666666664,0.16666666666666666,0.5833333333333334,0.041666666666666664,0.20833333333333334,0.0,0.0,0.0,1.0,0.0,0.0
