,ArcusTracksTrackPosition_Latitude,ArcusTracksTrackPosition_Longitude,ArcusTracksTrackPosition_Latitude,ArcusSystemStatusSensorPosition_Latitude,ArcusSystemStatusSensorPosition_Longitude,ArcusSystemStatusSensorPosition_Altitude,ArcusSystemStatusSensorStatusOrientetation_Azimuth,ArcusSystemStatusSensorStatusOrientetation_Elevation,ArcusSystemStatusSensorStatusBlankSector_Angle,ArcusSystemStatusSensorStatusBlankSector_Span,ArcusSystemStatusSensorStatusProcessing_Sensitivity,ArcusPotentialDronPlot_id,ArcusPotentialDronPlot_rcs,ArcusPotentiaDronPlotPlotPosition_altitude,ArcusPotentialDronPlotsPlotPosition_latitude,ArcusPotentialDronPlotsPlotPosition_longitude,LABEL,datetime(utc)
0,51.519912,5.865989,51.519912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,2020-09-29 13:55:32
1,51.519912,5.865989,51.519912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,2020-09-29 13:55:45
2,51.519912,5.865989,51.519912,10.304294,1.174114,6.200000,-31.155341,0.000000,0.663225,0.000000,1.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0,2020-09-29 13:55:49
3,51.519912,5.865989,51.519912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.000000,6.954127,51.154343,-0.014367,0.430516,0,2020-09-29 13:55:54
4,51.520301,5.867654,51.520301,8.586912,0.978428,5.166667,-25.962784,0.000000,0.552688,0.000000,2.833333,0.000000,0.000000,0.000000,0.000000,0.000000,0,2020-09-29 13:55:58
5,51.521137,5.868632,51.521137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,122.333333,-2.101128,361.875043,0.232755,1.544388,0,2020-09-29 13:56:02
6,51.521235,5.868375,51.521235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,2020-09-29 13:56:06
7,51.521664,5.868569,51.521664,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,75.956522,-0.132856,28.427776,0.031020,-0.750573,0,2020-09-29 13:56:11
8,51.521622,5.869013,51.521622,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,2020-09-29 13:56:15
9,51.521680,5.869070,51.521680,0.696236,0.079332,0.418919,-2.105091,0.000000,0.044813,0.000000,0.472973,0.000000,0.000000,0.000000,0.000000,0.000000,0,2020-09-29 13:56:19
10,51.521636,5.869604,51.521636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,93.045977,-0.083273,41.709111,-0.040122,1.620996,0,2020-09-29 13:56:24
11,51.521804,5.869466,51.521804,0.477051,0.054357,0.287037,-1.442377,0.000000,0.030705,0.000000,0.388889,42.435185,0.139247,2.371520,-0.001667,-0.102304,0,2020-09-29 13:56:28
12,51.521786,5.869335,51.521786,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.090909,0.144558,2.471817,0.003241,-0.132911,0,2020-09-29 13:56:32
13,51.521645,5.868848,51.521645,0.312251,0.035579,0.187879,-0.944101,0.000000,0.020098,0.000000,0.303030,612.878788,-0.321566,347.605409,-0.481640,9.496967,0,2020-09-29 13:56:37
14,51.521817,5.869088,51.521817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,2020-09-29 13:56:41
15,51.521870,5.869092,51.521870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,2020-09-29 13:56:45
16,51.521888,5.869040,51.521888,0.341202,0.038878,0.205298,-1.031634,0.000000,0.021961,0.000000,0.397351,0.000000,0.000000,0.000000,0.000000,0.000000,0,2020-09-29 13:56:49
17,51.521953,5.869111,51.521953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,432.553191,-0.766135,124.255779,0.026666,5.211630,0,2020-09-29 13:56:54
18,51.521834,5.869272,51.521834,0.271166,0.030898,0.163158,-0.819877,0.000000,0.017453,0.000000,0.347368,0.000000,0.000000,0.000000,0.000000,0.000000,0,2020-09-29 13:56:58
19,51.521755,5.869123,51.521755,0.223037,0.025414,0.134199,-0.674358,0.000000,0.014356,0.000000,0.298701,412.675325,-0.720870,61.812224,0.077107,4.345396,0,2020-09-29 13:57:01
20,51.521705,5.869176,51.521705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,396.694690,-1.125202,3.972516,0.023825,2.353155,0,2020-09-29 13:57:02
21,51.521710,5.869196,51.521710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,220.620087,-0.710840,1.709958,0.019026,1.543202,0,2020-09-29 13:57:03
22,51.521693,5.869232,51.521693,0.212899,0.024259,0.128099,-0.643705,0.000000,0.013703,0.000000,0.297521,111.661157,-0.296813,1.044255,0.009021,0.627879,0,2020-09-29 13:57:04
