,datetime(utc),total in seconds,channels,ArcusPotentialDronPlot_id,ArcusPotentialDronPlot_rcs,ArcusPotentiaDronPlotPlotPosition_altitude,ArcusPotentialDronPlotsPlotPosition_latitude,ArcusPotentialDronPlotsPlotPosition_longitude,ArcusTracksTrack_id,ArcusTracksTrackPosition_Latitude,ArcusTracksTrackPosition_Longitude,ArcusTracksTrackPosition_Altitude,ArcusTracksTrackVelocity_Azimuth,ArcusTracksTrackVelocity_Elevation,ArcusTracksTrackVelocity_Speed,ArcusTracksTrack_Reflection,ArcusTracksTrack_Score,ArcusSystemStatusSensorPosition_Latitude,ArcusSystemStatusSensorPosition_Longitude,ArcusSystemStatusSensorPosition_Altitude,ArcusSystemStatusSensorStatusOrientetation_Azimuth,ArcusSystemStatusSensorStatusOrientetation_Elevation,ArcusSystemStatusSensorStatusBlankSector_Angle,ArcusSystemStatusSensorStatusBlankSector_Span,ArcusSystemStatusSensorStatusProcessing_Sensitivity
0,2020-09-29 13:43:49,1601387029.0,,34559.6,1.2235443120000002,3855.482080078,-5.55892491,138.97331007,,51.52155861654929,5.869351237816901,102.84393072915493,119.2763636887324,-5.863308587394366,8.620910361478872,-32.31280998457746,0.3974773157746479,,,,,,,,
1,2020-09-29 13:43:50,1601387030.0,,,,,,,,51.5215756,5.869434100296296,101.54034176925926,119.64438252266666,-4.038966952,8.710741757259258,-32.491514361481485,0.41390312437037036,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,100.0
2,2020-09-29 13:43:51,1601387031.0,,35084.0,-0.30017089999999996,4053.25325521,-4.40333018,143.47331019,,51.52155625437956,5.8695107270073,96.78644813576642,119.38795355824819,-3.897289262408759,8.916936545109488,-32.38357349007299,0.412311434379562,,,,,,,,
3,2020-09-29 13:43:52,1601387032.0,,,,,,,,51.52157394528985,5.869647793695652,94.8810559792029,118.51976784927535,-3.8208264364492757,8.89863259188406,-31.956909704637678,0.4185575611594203,,,,,,,,
4,2020-09-29 13:43:53,1601387033.0,,,,,,,,51.521590123986016,5.869623658041958,94.21875547762238,122.28870126783217,-3.2854081353146856,8.771357784825176,-32.04487993993007,0.4084062627972028,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,100.0
5,2020-09-29 13:43:54,1601387034.0,,35562.0,-16.55770111,893.25933838,0.53504692,-104.03644384,,51.52161061326389,5.869653342083334,93.35477930833333,116.34756195215277,-3.7078654640972224,8.894037251666667,-32.08723184798611,0.4216967411111111,,,,,,,,
6,2020-09-29 13:43:55,1601387035.0,,,,,,,,51.52161166303448,5.869760678689655,93.17456015544828,110.12254864572414,-1.4100150443448276,8.604064987310345,-31.907797556896554,0.4182640028275862,,,,,,,,
7,2020-09-29 13:43:56,1601387036.0,,,,,,,,51.521593977777776,5.869737259930556,95.09080755840279,107.6047377420139,-1.64471269625,8.871952740625,-31.77256947097222,0.4181847683333333,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,100.0
8,2020-09-29 13:43:57,1601387037.0,,37499.17391304348,-2.899064437391304,2822.7008852752174,29.646749762173915,-23.809298364782602,,51.52160144848684,5.869633091315789,92.51231399677631,110.63040123171052,-1.304824328223684,8.884439790592104,-31.483586286381577,0.3980037419078948,,,,,,,,
9,2020-09-29 13:43:58,1601387038.0,,37790.59090909091,-6.9980300563636355,2845.502513539091,4.086829683181818,50.20057531636364,,51.52159712134752,5.869608125531915,90.60657771567377,116.1614747319858,1.0453605390780143,8.59809482361702,-31.380919003049648,0.43347523205673755,,,,,,,,
10,2020-09-29 13:43:59,1601387039.0,,36546.4,-11.687557984,2330.9710449219997,-5.47188823,138.97331007,,51.52159127673333,5.869652504266667,89.92995105986667,118.02647515293334,1.4992071206000002,8.438467164799999,-31.296470565799996,0.4348101815333334,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,100.0
11,2020-09-29 13:44:00,1601387040.0,,38382.92857142857,-2.321941919285714,3313.3750523164285,-5.06072877,134.47330493,,51.521601712333336,5.869656931266666,91.22363747586667,117.01626291580001,1.3666269617333333,8.581082588,-31.26787882486667,0.43622871659999995,,,,,,,,
12,2020-09-29 13:44:01,1601387041.0,,36890.6,-8.237200928,2754.453125002,4.35025975,84.97330856,,51.52158496785235,5.869535816778523,90.9380178238255,113.51558451677852,1.2713007685234898,8.788613519731543,-31.27216001147651,0.4426176504697987,,,,,,,,
13,2020-09-29 13:44:02,1601387042.0,,37429.0,-7.800398253999999,2442.4673584,24.76906802,-18.52669432,,51.52157702675497,5.869524379536424,91.51990650549669,112.30777508364238,0.6712387984768213,9.04020526205298,-31.14113945370861,0.4415840766887417,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,100.0
14,2020-09-29 13:44:03,1601387043.0,,,,,,,,51.52163884732484,5.869441144458598,93.630472727707,110.93560859643313,0.2629783162420383,8.764977626687898,-31.737928888726113,0.4306303355414013,,,,,,,,
15,2020-09-29 13:44:04,1601387044.0,,,,,,,,51.521676598407645,5.869556679235669,90.75326088878981,115.39705651318471,0.5970234106369428,9.21009262089172,-31.807831126369425,0.43924694458598723,,,,,,,,
16,2020-09-29 13:44:05,1601387045.0,,,,,,,,51.52168053097561,5.8697079531097565,92.68759673621952,114.06896278634146,-1.2599532340853659,8.852136485609757,-32.20923919219512,0.41957573713414636,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,100.0
17,2020-09-29 13:44:06,1601387046.0,,39427.0,-13.64877319,1738.95617676,-5.1068206,138.97330506,,51.521701851049386,5.869614241172839,90.98080075265432,108.67387231790123,-2.0237326737037034,9.042096302962962,-32.291958820740746,0.41982738308641976,,,,,,,,
18,2020-09-29 13:44:07,1601387047.0,,38099.0,-8.748184199999999,1816.1192627,44.48381312,93.97330881,,51.5216989770625,5.8695820955624995,91.7506199498125,116.14698177575,-3.7178103905625,9.0063381789375,-32.2399792196875,0.4358727415625,,,,,,,,
19,2020-09-29 13:44:08,1601387048.0,,39737.75,-1.7483940150000001,4286.617675785,-0.14828169999999963,111.973304305,,51.521719815827815,5.869763732251656,91.09641336245033,115.0863103268212,-2.0697844623178807,8.853061362715232,-32.192694531655626,0.4425691347019868,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,100.0
20,2020-09-29 13:44:09,1601387049.0,,,,,,,,51.521706334240505,5.869705357088607,90.04463875094937,118.73326582569621,-2.2075078361392406,8.73477815221519,-32.25164942234177,0.42849732803797463,,,,,,,,
21,2020-09-29 13:44:10,1601387050.0,,40262.0,-25.7468585975,952.7911071775,-3.9483012925,138.97330506,,51.521722309808915,5.86976680343949,89.93870336375795,117.2282886656688,-2.171314828089172,8.794396233503186,-32.33134205356688,0.4241530791082803,,,,,,,,
22,2020-09-29 13:44:11,1601387051.0,,,,,,,,51.52170417761006,5.869844066037736,93.43359899974843,120.23012917899372,-1.8959681324528301,8.693666777484276,-32.25865660415094,0.4233509685534591,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,100.0
23,2020-09-29 13:44:12,1601387052.0,,,,,,,,51.521715974437086,5.869874353112582,92.88763992165563,119.77797545529802,-2.975728913642384,8.736182939205298,-32.20787515708609,0.4266657925827815,,,,,,,,
24,2020-09-29 13:44:13,1601387053.0,,,,,,,,51.52174935214765,5.869926111342282,89.85789520348993,120.88913769744967,-4.751108977181208,8.843819469395974,-32.1025927242953,0.4236281206711409,,,,,,,,
25,2020-09-29 13:44:14,1601387054.0,,,,,,,,51.521710430342466,5.869981820547945,89.54421370958904,121.45382140136985,-3.640259395547945,8.849293780547946,-32.073771019726024,0.43246911410958905,51.52147,5.87056833,31.0,-155.77670288,0.0,1.65806283,0.0,100.0
