,total in seconds,datetime(utc),Diana_time,DianaSensorPosition_latitude_deg,DianaSensorPosition_longitude_deg,DianaSensorPosition_altitude_m,DianaTargets_band,DianaTarget_ID,DianaTargetsTargetSignal_snr_dB,DianaTargetsTargetSignal_bearing_deg,DianaTargetsTargetSignal_range_m,DianaTargetsTargetClassification_score,channels,DianaTarget_Aircraft,DianaTarget_Controller,DianaTarget_None,DianaClasssification_Unknown,DianaClasssification_DJI-MAVIC-PRO-PLATINUM,DianaClasssification_Wifi-Bluetooth,DianaClasssification_DJI-MAVIC-2-PRO,DianaClasssification_DJI-Phantom-4F,DianaClasssification_Parrot-ANAFI,DianaClasssification_DJI-Phantom-4E,DianaClasssification_SPEKTRUM-DX5e,DianaClasssification_SYMA-X8HW,DianaClasssification_DJI-MAVIC-AIR,DianaClasssification_None,DianaClasssification_VISUO-Zen
0,1601456468,2020-09-30 09:01:08,738064.5,51.519137,5.857951,31.0,2.0,0.0,20.896167,25.004812,160.0,0.266667,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1601456468,2020-09-30 09:01:08,0.0,0.0,0.0,0.0,0.0,0.0,9.550163,25.004812,592.0,0.3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1601456468,2020-09-30 09:01:08,0.0,0.0,0.0,0.0,0.0,0.0,13.984507,25.004812,355.0,0.3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1601456471,2020-09-30 09:01:11,0.0,0.0,0.0,0.0,0.0,0.0,16.956422,13.432601000000002,252.0,0.333333,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4,1601456471,2020-09-30 09:01:11,738064.5,51.519137,5.857951,31.0,3.0,1001.0,31.584496,13.432601000000002,46.0,0.5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,1601456474,2020-09-30 09:01:14,738064.5,51.519137,5.857951,31.0,1.0,15001.0,27.122827,88.645486,78.0,0.4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,1601456474,2020-09-30 09:01:14,0.0,0.0,0.0,0.0,0.0,0.0,7.622419,88.645486,740.0,0.3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7,1601456477,2020-09-30 09:01:17,738064.5,51.519137,5.857951,31.0,2.0,0.0,23.390364,15.642526,120.0,0.310066,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8,1601456477,2020-09-30 09:01:17,0.0,0.0,0.0,0.0,0.0,0.0,13.225874,15.642526,388.0,0.193055,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9,1601456477,2020-09-30 09:01:17,0.0,0.0,0.0,0.0,0.0,0.0,12.779271,15.642526,408.0,0.25605,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
