,datetime(utc),total in seconds,channels,ArcusPotentialDronPlot_id,ArcusPotentialDronPlot_rcs,ArcusPotentiaDronPlotPlotPosition_altitude,ArcusPotentialDronPlotsPlotPosition_latitude,ArcusPotentialDronPlotsPlotPosition_longitude,ArcusTracksTrack_id,ArcusTracksTrackPosition_Latitude,ArcusTracksTrackPosition_Longitude,ArcusTracksTrackPosition_Altitude,ArcusTracksTrackVelocity_Azimuth,ArcusTracksTrackVelocity_Elevation,ArcusTracksTrackVelocity_Speed,ArcusTracksTrack_Reflection,ArcusTracksTrack_Score,ArcusSystemStatusSensorPosition_Latitude,ArcusSystemStatusSensorPosition_Longitude,ArcusSystemStatusSensorPosition_Altitude,ArcusSystemStatusSensorStatusOrientetation_Azimuth,ArcusSystemStatusSensorStatusOrientetation_Elevation,ArcusSystemStatusSensorStatusBlankSector_Angle,ArcusSystemStatusSensorStatusBlankSector_Span,ArcusSystemStatusSensorStatusProcessing_Sensitivity,SystemStatusSensorStatus_Messages
0,2020-09-30 09:01:08,1601456468.0,,822814.0707070708,-8.709244698888888,3165.0930286751513,-4.362306105656566,-122.02669720000002,,51.52434756953072,5.863778531220136,53.875337923856655,210.44771137334473,0.4626645812969285,12.864358204744027,-16.722109016518772,0.35437951221843006,51.52147,5.87056833,31.0,-155.77670288,0.0,2.007128685,1.57079637,100.0,
1,2020-09-30 09:01:09,1601456469.0,,,,,,,,51.524434190917205,5.863714537118507,51.41575872642857,211.6997191565909,-0.04919642464285699,13.01264702555195,-16.495766032857144,0.34406951055194807,,,,,,,,,
2,2020-09-30 09:01:10,1601456470.0,,824021.0769230769,-3.8612820553846157,3692.154109074231,-5.018824459615384,-48.1295362473077,,51.52469109214389,5.863338346853198,48.95335940017442,210.30457037430233,0.48884703700581406,13.68796168119186,-15.508257411133723,0.31543068206395347,,,,,,,,,
3,2020-09-30 09:01:11,1601456471.0,,837941.1052631579,-6.261372750877193,3448.276692709649,-5.188632483859649,-95.45649802561404,,51.524725270976674,5.863250110634111,49.354230138396495,210.93053789501457,-0.11412010262390666,13.989363493002916,-15.540184143411079,0.32050446653061226,51.52147,5.87056833,31.0,-155.77670288,0.0,2.007128685,1.57079637,100.0,
4,2020-09-30 09:01:12,1601456472.0,,824958.5588235294,-3.148722030882353,3699.0166913202943,-4.830330172941176,-50.02669519,,51.52476948843006,5.863160200111607,48.500289873571425,211.04372134488096,-0.0023565264285715,14.21219294717262,-15.623778422678573,0.32097262226190476,,,,,,,,,
5,2020-09-30 09:01:13,1601456473.0,,838831.0,-3.37918472,9.42416477,41.25727274,-40.72654212,,51.52471839332353,5.863260589514706,47.54600304117647,207.7658889134706,0.5167021872058825,14.072719903852942,-15.614600080588236,0.3138417573823529,,,,,,,,,
6,2020-09-30 09:01:14,1601456474.0,,825561.5384615385,-6.35482788,3816.578838642308,-5.065216210000001,-86.0266962,,51.52455071404839,5.8635516715080644,48.890867623903226,206.48624800487096,0.8749688496774195,13.553610636806454,-16.39519799748387,0.3305015973548387,51.52147,5.87056833,31.0,-155.77670288,0.0,2.007128685,1.57079637,100.0,
7,2020-09-30 09:01:15,1601456475.0,,839476.7647058824,-6.074022630588235,3029.472433652059,-5.598438507352942,-41.046855166764715,,51.5244805262541,5.863656118508197,49.02003508127869,205.6955115722951,-0.38628338498360654,13.440562458622951,-16.575070428,0.34008150029508194,,,,,,,,,
8,2020-09-30 09:01:16,1601456476.0,,826632.0277777778,-7.451147927499999,2911.969718085,-3.993563795277778,-43.79183117027778,,51.52450272500828,5.863689624370861,48.925623240231786,207.20859805569538,-0.03668807327814579,13.307116266688743,-16.7087247102649,0.3479441986754967,,,,,,,,,
9,2020-09-30 09:01:17,1601456477.0,,840338.875,-7.0053215028124995,3456.0741462715628,-5.46655556,-86.02669119,,51.5240970235061,5.864231386808943,52.49209165890244,204.97021813707318,-1.4929517005284554,12.96227778109756,-19.15547521317073,0.4099165214227642,51.52147,5.87056833,31.0,-155.77670288,0.0,2.007128685,1.57079637,100.0,
10,2020-09-30 09:01:18,1601456478.0,,,,,,,,51.523695837455946,5.864876501002203,56.879378481806164,202.97449024330396,-1.3212787157268722,11.873708106519823,-20.352733292731276,0.4333004181057269,,,,,,,,,
11,2020-09-30 09:01:19,1601456479.0,,841440.14,-2.5976630407,3661.9224340824003,-5.3221683217999995,-61.9066905134,,,,,,,,,,,,,,,,,,
12,2020-09-30 09:01:20,1601456480.0,,828201.4444444445,-9.09964497861111,2769.7632965522225,-3.2633444391666666,-46.42985227277778,,51.523654427749534,5.864629839043439,54.66013320937154,196.95289246467652,-0.8541198511645102,12.199597325157116,-18.985784548558225,0.38603088243992606,51.52147,5.87056833,31.0,-155.77670288,0.0,2.007128685,1.57079637,100.0,
13,2020-09-30 09:01:21,1601456481.0,,842816.0579710145,-2.036846990434783,3466.9854152514495,-5.52078556,-54.52669031,,51.52307564129828,5.86540593055794,60.19253248515022,197.24393777107298,-1.324371427253219,11.145567739785408,-21.365825293004292,0.4639188638197425,,,,,,,,,
14,2020-09-30 09:01:22,1601456482.0,,829176.5066666667,-4.211740519066667,3785.1433886721334,-4.829426044,-71.626695792,,51.523038667225485,5.865294514205883,60.705449383725494,192.0526482864706,-0.058547242352941196,11.361849634352941,-20.600563423333334,0.43504528368627454,,,,,,,,,
15,2020-09-30 09:01:23,1601456483.0,,843659.25,-3.9817314162499997,4129.92211914125,-5.38673391375,-72.52669081,,51.52303874184363,5.865334060907336,63.46780897872586,190.92820816355214,-0.32639657185328197,11.73401464050193,-20.809550605598456,0.44446060069498067,51.52147,5.87056833,31.0,-155.77670288,0.0,2.007128685,1.57079637,100.0,
16,2020-09-30 09:01:24,1601456484.0,,830130.7019230769,-3.659143521153846,3615.8008528491346,-4.437087056153846,-68.35719655634615,,51.5230477298479,5.865341305779467,63.79602580946768,198.1156024543346,0.18517888688212927,11.835359910722435,-20.7384756691635,0.4537476644106464,,,,,,,,,
17,2020-09-30 09:01:25,1601456485.0,,844441.8863636364,-5.858325438636363,3636.367543313182,-4.769878613636363,-67.84594873886364,,51.523037332185034,5.865292424114173,64.22709120771654,193.20761807444882,0.4902638041338584,11.801971550748032,-20.443719758779526,0.46788382775590553,,,,,,,,,
18,2020-09-30 09:01:26,1601456486.0,,831074.4117647059,-3.886688681764706,3864.010519589411,-4.602390748235294,-77.46600241470588,,,,,,,,,,51.52147,5.87056833,31.0,-155.77670288,0.0,2.007128685,1.57079637,100.0,
19,2020-09-30 09:01:27,1601456487.0,,845497.5428571429,-15.95509861542857,2199.680873326,-3.7178491680000003,-70.99002129257141,,51.52303218439723,5.865274035543479,65.08119158628459,194.050771183834,1.5431837787351776,11.6586211986166,-20.647425127667983,0.4776597641501976,,,,,,,,,
20,2020-09-30 09:01:28,1601456488.0,,832028.5875,-3.67935848225,3394.7423765779995,-4.713335220375,-71.213624693125,,,,,,,,,,,,,,,,,,
21,2020-09-30 09:01:29,1601456489.0,,846607.1574074074,-3.874552126851852,3551.965017813889,-5.363556581203704,-75.74309071185185,,51.52408162436016,5.8638576797097635,58.474342993166225,196.75547336641162,1.6699917289182058,12.228218338601582,-15.440521532110818,0.3253611140633245,51.52147,5.87056833,31.0,-155.77670288,0.0,2.007128685,1.57079637,100.0,
22,2020-09-30 09:01:30,1601456490.0,,832882.0,-5.1256752,811.98672485,0.5775621,-101.90431090999999,,51.52404119991655,5.8639988925600806,61.0573472670761,194.86181114909215,0.747738158798398,12.382596742269692,-15.869326949065421,0.33369012991989316,,,,,,,,,
23,2020-09-30 09:01:31,1601456491.0,,847648.5,-5.1536483749999995,804.723052975,0.53279835,-101.58869271,,51.52405314456921,5.864342122485875,66.19948090612993,199.23692774053671,0.4444513598587571,12.08662046118644,-16.776669938502824,0.34624311259887003,,,,,,,,,
24,2020-09-30 09:01:32,1601456492.0,,833441.0,-5.24446106,4098.33251953,-5.01810199,-90.52669632,,51.52407981696581,5.8643739696296295,66.55914226099715,199.98826213968664,0.24936705866096878,11.936139688119658,-16.778728963219372,0.3458641731908832,51.52147,5.87056833,31.0,-155.77670288,0.0,2.007128685,1.57079637,100.0,
25,2020-09-30 09:01:33,1601456493.0,,848394.303030303,-2.650486108181818,3688.2724757342426,-5.4190863451515145,-77.71735225090909,,,,,,,,,,,,,,,,,,
26,2020-09-30 09:01:34,1601456494.0,,834081.696969697,-7.6430481418181815,3227.875798081818,-4.82369737969697,-86.0734647139394,,51.524095277950394,5.864235553877285,63.98690099005221,197.56359861456917,-0.8965559815665796,12.185474001148824,-16.309258622637074,0.3278808987467363,,,,,,,,,
27,2020-09-30 09:01:35,1601456495.0,,849115.8333333334,-9.346303301666667,3037.0952758783333,-5.653106386666667,-86.02669119,,51.524110621596854,5.86414596941754,63.58772878798429,197.73401788560213,-1.4462427682984291,12.095801858089006,-16.259949728926703,0.3486444737434555,51.52147,5.87056833,31.0,-155.77670288,0.0,2.007128685,1.57079637,100.0,
28,2020-09-30 09:01:36,1601456496.0,,834651.5,-11.14224243,3065.626464845,-5.01849088,-86.0266962,,51.52409674633033,5.8640688792287925,63.48667940619537,195.40890478814913,-0.3469443536503855,12.267568932159381,-15.944635964884318,0.3488486106940874,,,,,,,,,
29,2020-09-30 09:01:37,1601456497.0,,849956.0,-2.16644287,4323.68994141,-3.43489701,-45.52669006,,51.524111150251294,5.8640807855219075,62.40404452492268,196.26540931716497,-1.2383692770618557,12.419618757938144,-15.90399269201031,0.36715783322164947,,,,,,,,,
30,2020-09-30 09:01:38,1601456498.0,,835472.1276595745,-4.820502749148936,3504.503914041702,-4.621982937659575,-76.26073847191489,,51.523026670735845,5.865586502198114,73.69691775596226,191.16774447479244,-0.5589813061509433,11.960128255811322,-20.810581250490568,0.5189400072830189,51.52147,5.87056833,31.0,-155.77670288,0.0,2.007128685,1.57079637,100.0,
31,2020-09-30 09:01:39,1601456499.0,,850584.64,-2.7217738343999995,3730.159927979,-5.1777628572,-77.5407344518,,51.523027832557695,5.865537979451924,72.48470292911539,191.6668044313846,-1.2331871800384615,12.037116998576924,-20.354101136807692,0.5072152166153846,,,,,,,,,
32,2020-09-30 09:01:40,1601456500.0,,836401.8736842105,-2.4775740774736845,3595.078216231895,-5.078578643578947,-80.55465267421053,,51.52301778600386,5.865515077519305,71.56302279378379,194.32442585320464,0.09405554057915058,12.13057853972973,-20.262134375173744,0.508455714054054,,,,,,,,,
